"","Exchange Date","Close","Net","%Chg","Open","Low","High","Volume","Turnover - EUR","Flow"
"177",2008-05-31,3777.85,-47.1700000000001,-0.0123319616629456,3835.38,3695.4,3900.3,21355457650,3034165756,-345171308
"178",2008-04-30,3825.02,196.96,0.0542879665716664,3620.24,3612.72,3841.91,21015390980,3185872703,2688994448
"179",2008-03-31,3628.06,-96.4400000000001,-0.0258934085112096,3715.59,3417.25,3715.59,21792322210,3417755193,-496878255
"180",2008-02-29,3724.5,-68.3000000000002,-0.0180078042607045,3817.28,3649.34,3905.5,19448509120,3557482679,2920876938
"181",2008-01-31,3792.8,-606.92,-0.13794514196358,4393.53,3528.88,4411.59,25952559870,5152496607,6478359617
"182",2007-12-31,4399.72,4.77000000000044,0.00108533657948337,4389.01,4279.54,4502.8,14108771890,2772715586,11630856224
"183",2007-11-30,4394.95,-94.8400000000001,-0.021123482390045,4491.64,4176.3,4497.32,23982319960,4445063223,8858140638
"184",2007-10-31,4489.79,108.08,0.02466616914401,4361.59,4332.45,4489.79,22638990810,4491364289,13303203861
"185",2007-09-30,4381.71,87.1499999999996,0.020293115010618,4297.96,4131.48,4404.1,18694750670,3742034127,8811839572
"186",2007-08-31,4294.56,-21.1299999999992,-0.00489608845862404,4264.28,4028.72,4374.67,21840099720,4573911213,5069805445
"187",2007-07-31,4315.69,-174.080000000001,-0.0387725874599369,4471.8,4208.16,4564.03,18049826260,3927940800,9643716658
"188",2007-06-30,4489.77,-22.8799999999992,-0.00507019157257913,4516.03,4330.27,4572.82,21994578460,4559004407,13571657458
"189",2007-05-31,4512.65,120.309999999999,0.0273908668272491,4401.94,4331.36,4522.24,23713828280,4094163444,18130661865
"190",2007-04-30,4392.34,211.31,0.0505401778987475,4177.31,4163.77,4434.06,22060319890,3501290391,14036498421
"191",2007-03-31,4181.03,93.9099999999999,0.0229770596410186,4084.64,3906.15,4207.76,22285219890,3617319583,10535208030
"192",2007-02-28,4087.12,-91.4200000000001,-0.0218784551541926,4190.98,4068.05,4278.22,15836479360,3267266045,6917888447
"193",2007-01-31,4178.54,58.6000000000004,0.0142235081093415,4128.9,4077.88,4210.63,17307208930,3321068183,10185154492
"194",2006-12-31,4119.94,132.71,0.0332837583986877,3993.03,3914.46,4147.38,11279604320,2361713425,6864086309
"195",2006-11-30,3987.23,-17.5700000000002,-0.0043872353176189,4003.8,3951.94,4118.4,15786260720,3056296957,4502372884
"196",2006-10-31,4004.8,105.39,0.0270271656481366,3902.03,3858.87,4047.54,14629766650,2920654333,7558669841
"197",2006-09-30,3899.41,90.71,0.0238165253236012,3808.99,3709.81,3921.15,14042096020,2572452437,4638015508
"198",2006-08-31,3808.7,116.83,0.0316452096092224,3687.82,3632.51,3829.4,11446443850,2224901804,2065563071
"199",2006-07-31,3691.87,42.9499999999998,0.0117706060971465,3648.91,3462.77,3711.52,11060854890,2159816647,-159338733
"200",2006-06-30,3648.92,11.75,0.00323053362916773,3634.82,3379.66,3688.89,17301025570,3142123167,-2319155380
"201",2006-05-31,3637.17,-202.73,-0.0527956457199406,3839.24,3527.05,3897.4,19106507170,3465435319,-5461278547
"202",2006-04-30,3839.9,-13.8399999999997,-0.00359131648736025,3859.99,3749.71,3892.35,12581153080,2234789775,-1995843228
"203",2006-03-31,3853.74,79.2299999999996,0.0209908041043737,3775.23,3702.04,3881.69,15307670300,238946547,238946547
"204",2006-02-28,3774.51,83.1000000000004,0.022511723162694,3686.16,3637.93,3840.56,4249534630,NA,0
"205",2006-01-31,3691.41,112.48,0.031428387814235,3578.73,3515.07,3707.63,NA,NA,0
"206",2005-12-31,3578.93,131.86,0.0382527769961154,3448.23,3448.23,3621.89,NA,NA,0
"207",2005-11-30,3447.07,126.92,0.0382271885306387,3320.21,3288.07,3493.4,NA,NA,0
"208",2005-10-31,3320.15,-108.36,-0.0316055662663956,3429.45,3212.07,3464.24,NA,NA,0
"209",2005-09-30,3428.51,164.73,0.0504721519220045,3265.1,3264.2,3438.76,NA,NA,0
"210",2005-08-31,3263.78,-62.73,-0.0188576015102916,3326.17,3196.65,3370.84,NA,NA,0
"211",2005-07-31,3326.51,144.97,0.0455659837688667,3179.38,3079.89,3346.56,NA,NA,0
"212",2005-06-30,3181.54,104.84,0.0340754704716092,3077.86,3077.86,3198.89,NA,NA,0
"213",2005-05-31,3076.7,146.6,0.0500324221016347,2931.97,2931.97,3096.84,NA,NA,0
"214",2005-04-30,2930.1,-125.63,-0.0411129255529776,3055.18,2911.48,3100.72,NA,NA,0
"215",2005-03-31,3055.73,-2.59000000000015,-0.000846870177090738,3056.45,3019.29,3117.77,NA,NA,0
"216",2005-02-28,3058.32,73.73,0.0247035606230672,2984.63,2982.06,3091.64,NA,NA,0
"217",2005-01-31,2984.59,33.5799999999999,0.0113791549333957,2952.29,2914,2989.61,NA,NA,0
"218",2004-12-31,2951.01,NA,NA,2874.21,2867.54,2960.97,NA,NA,0
